word,layer_1,layer_2
Episcopal,0.011,0.012
77,0.006,0.06
Anglican,0.003,0.008
integration,0.098,0.129
African,0.016,0.03
Nigerian,0.041,0.114
river,0.052,0.046
Ukrainian,0.02,0.026
Latin,0.051,0.018
bitter,0.029,0.062
further,0.007,0.022
Mississippi,0.008,0.01
Marcel,0.024,0.081
captain,0.004,0.038
believes,0.004,0.01
Moscow,0.005,0.007
frequent,0.076,0.079
tension,0.065,0.108
ahead,0.009,0.004
torn,0.066,0.047
Eric,0.059,0.047
save,0.007,0.023
opportunities,0.013,0.036
operator,0.001,0.012
Kelly,0.024,0.02
ministry,0.037,0.026
convicted,0.03,0.033
jet,0.013,0.013
Sony,0.016,0.012
spreading,0.009,0.016
vast,0.045,0.094
abortions,0.023,0.024
performed,0.019,0.025
girls,0.032,0.052
evacuated,0.016,0.012
bug,0.033,0.036
certainly,0.011,0.051
From,0.017,0.005
simply,0.015,0.033
Oh,0.009,0.008
crash,0.011,0.014
Captain,0.014,0.004
fellow,0.003,0.009
Allen,0.031,0.007
Hope,0.01,0.005
kiss,0.04,0.019
connections,0.05,0.049
barred,0.066,0.042
courageous,0.021,0.035
Oscar,0.007,0.03
film,0.01,0.01
Walker,0.01,0.008
bilateral,0.031,0.047
interview,0.054,0.032
legislators,0.006,0.017
here,0.014,0.023
punishment,0.009,0.008
Edward,0.065,0.062
Federal,0.059,0.098
remorse,0.006,0.026
planned,0.014,0.025
potential,0.019,0.014
complete,0.026,0.043
alternate,0.02,0.08
Farm,0.093,0.093
cites,0.01,0.028
alleged,0.012,0.019
operational,0.017,0.015
uses,0.115,0.299
Philadelphia,0.004,0.005
council,0.012,0.021
defy,0.032,0.022
BBC,0.009,0.031
polls,0.024,0.022
Gulf,0.013,0.026
Indian,0.01,0.02
Funny,0.02,0.042
Co.,0.082,0.039
Cuban,0.011,0.009
none,0.013,0.013
Los,0.009,0.006
Angeles,0.025,0.014
findings,0.179,0.298
measures,0.033,0.059
hopes,0.083,0.092
Enron,0.012,0.014
accurate,0.023,0.082
picture,0.018,0.013
sample,0.068,0.095
parents,0.018,0.044
artificially,0.02,0.097
genuine,0.115,0.293
800,0.002,0.004
spots,0.148,0.138
summer,0.008,0.013
joining,0.039,0.026
Kodak,0.013,0.006
worked,0.02,0.006
managed,0.049,0.088
positions,0.005,0.009
granted,0.003,0.002
crucial,0.034,0.072
aspects,0.053,0.037
Commissioner,0.061,0.063
Gold,0.013,0.003
rise,0.027,0.049
silver,0.025,0.05
bounce,0.016,0.022
Carolina,0.022,0.01
okay,0.013,0.057
Global,0.009,0.007
unions,0.052,0.049
staged,0.006,0.011
dining,0.028,0.038
gambling,0.011,0.016
Lottery,0.028,0.015
pressed,0.023,0.026
lottery,0.027,0.034
sunset,0.151,0.094
Kentucky,0.025,0.027
Fletcher,0.006,0.011
battling,0.005,0.028
obstacles,0.011,0.033
'll,0.006,0.006
Remote,0.008,0.012
communications,0.0,0.005
obesity,0.013,0.039
problems,0.013,0.014
argue,0.019,0.013
Michelle,0.023,0.067
chips,0.02,0.021
Women,0.009,0.008
Vatican,0.01,0.015
Where,0.031,0.008
senator,0.046,0.046
History,0.037,0.011
Hillary,0.043,0.059
lady,0.009,0.025
2.5,0.041,0.058
81,0.115,0.061
comparable,0.058,0.051
rule,0.024,0.035
bars,0.01,0.073
Chris,0.03,0.021
Kennedy,0.005,0.007
Right,0.047,0.051
anyone,0.016,0.01
responsible,0.025,0.014
west,0.017,0.018
inspectors,0.005,0.005
stopped,0.011,0.018
sensitive,0.002,0.023
Ms,0.004,0.003
Cup,0.085,0.04
Donald,0.261,0.242
crime,0.071,0.055
closer,0.015,0.018
kind,0.031,0.03
internal,0.041,0.097
doubt,0.071,0.049
Queen,0.015,0.016
Egyptians,0.075,0.108
searching,0.031,0.008
range,0.02,0.081
retail,0.01,0.029
Treasury,0.01,0.035
manage,0.017,0.019
nationalist,0.116,0.122
desk,0.041,0.034
bound,0.032,0.038
Ministry,0.027,0.037
Defence,0.221,0.247
facing,0.002,0.005
m,0.013,0.015
hundreds,0.013,0.012
Kenyan,0.009,0.021
raped,0.011,0.006
attacked,0.017,0.012
wounded,0.091,0.116
interior,0.051,0.027
USA,0.037,0.006
fighting,0.031,0.036
centre,0.019,0.062
Missouri,0.003,0.024
Blue,0.007,0.003
warnings,0.052,0.029
driven,0.083,0.098
focused,0.011,0.015
Mitsubishi,0.063,0.054
Tokyo,0.061,0.067
Financial,0.028,0.048
Palestinians,0.008,0.021
birthday,0.051,0.024
holiday,0.121,0.138
Princess,0.077,0.086
turned,0.008,0.013
conspiracy,0.121,0.151
lying,0.022,0.059
grand,0.079,0.088
post,0.046,0.024
conducted,0.006,0.014
visits,0.008,0.03
mosques,0.045,0.023
jail,0.056,0.055
university,0.013,0.021
Our,0.082,0.038
fundamental,0.04,0.108
values,0.025,0.022
changed,0.026,0.04
parts,0.017,0.023
constitution,0.092,0.086
crossed,0.037,0.151
constitutional,0.012,0.02
Charles,0.032,0.085
UC,0.025,0.049
professor,0.003,0.004
airport,0.026,0.018
Pakistani,0.009,0.028
enforcement,0.007,0.014
Toronto,0.163,0.22
nine,0.029,0.057
finish,0.01,0.019
Toll,0.028,0.02
runs,0.035,0.084
46,0.069,0.015
sweep,0.029,0.034
felt,0.003,0.009
pre,0.041,0.035
Through,0.027,0.032
Hong,0.015,0.017
Kong,0.022,0.011
flu,0.011,0.002
ill,0.04,0.028
upside,0.011,0.051
predicted,0.019,0.059
cooperate,0.044,0.028
plea,0.008,0.037
Albuquerque,0.009,0.002
annually,0.011,0.014
takes,0.008,0.007
annual,0.028,0.038
Pro,0.078,0.035
economists,0.03,0.007
corporations,0.004,0.036
blatantly,0.004,0.0
snob,0.001,0.0
Economists,0.003,0.003
openly,0.001,0.003
luxury,0.012,0.004
importantly,0.117,0.168
Ahmadinejad,0.048,0.047
destabilizing,0.079,0.147
Bernanke,0.037,0.026
Gays,0.103,0.082
modern,0.044,0.049
practices,0.02,0.05
indulgent,0.007,0.015
practical,0.116,0.154
laws,0.022,0.013
Mubarak,0.023,0.013
dismissed,0.062,0.097
demands,0.046,0.085
futile,0.035,0.09
taxing,0.018,0.015
disrupted,0.007,0.035
depends,0.02,0.011
directly,0.06,0.21
fate,0.381,0.515
Pax,0.094,0.087
Europa,0.035,0.05
pan,0.07,0.099
prosperity,0.03,0.046
depend,0.003,0.009
Large,0.057,0.047
tendency,0.031,0.033
extends,0.063,0.193
deeper,0.124,0.277
headscarves,0.029,0.023
trend,0.006,0.005
beyond,0.009,0.007
simple,0.011,0.009
divisions,0.05,0.081
reproduced,0.007,0.012
Beyond,0.125,0.1
geographical,0.039,0.022
division,0.023,0.023
continues,0.016,0.033
Versus,0.001,0.01
psychologists,0.044,0.074
envy,0.055,0.074
pervasive,0.025,0.007
attractive,0.102,0.164
reflect,0.011,0.01
delicate,0.155,0.269
balance,0.001,0.015
transferable,0.061,0.086
fragile,0.034,0.016
theories,0.021,0.023
explanations,0.022,0.036
Every,0.005,0.007
markedly,0.003,0.006
answer,0.049,0.057
lies,0.084,0.123
Indonesian,0.077,0.026
activists,0.041,0.023
generate,0.033,0.046
domestically,0.002,0.023
internationally,0.023,0.018
ignorant,0.056,0.048
poor,0.013,0.029
sick,0.039,0.042
moment,0.017,0.018
Jobs,0.19,0.209
sharia,0.032,0.024
introduced,0.122,0.216
threat,0.044,0.034
evaporate,0.001,0.002
technological,0.018,0.019
prominent,0.04,0.034
businessman,0.085,0.139
divides,0.006,0.036
influential,0.008,0.021
precise,0.031,0.085
forge,0.005,0.008
absolves,0.007,0.015
Conservative,0.096,0.103
effective,0.024,0.05
recommend,0.011,0.02
policies,0.011,0.017
politicians,0.102,0.07
gross,0.056,0.029
ruin,0.086,0.147
mistake,0.012,0.014
Political,0.005,0.007
Tocqueville,0.009,0.009
constraints,0.006,0.0
witnessing,0.215,0.156
shift,0.107,0.207
Islamist,0.008,0.009
Islamic,0.005,0.007
defeat,0.082,0.161
Alstom,0.041,0.055
profound,0.242,0.253
consequences,0.03,0.023
repercussions,0.016,0.024
absence,0.068,0.052
conservative,0.032,0.04
Losing,0.04,0.017
intolerance,0.0,0.013
undeniable,0.012,0.01
meetings,0.024,0.013
philosopher,0.033,0.035
Gauchet,0.007,0.009
entitled,0.013,0.091
Democracy,0.01,0.056
Itself,0.001,0.004
itself,0.01,0.01
spirit,0.051,0.092
success,0.013,0.014
malaise,0.02,0.027
seems,0.012,0.016
regime,0.038,0.028
impotence,0.029,0.077
Europeans,0.103,0.149
spared,0.004,0.013
legacy,0.0,0.014
forgotten,0.034,0.092
Those,0.034,0.015
factory,0.011,0.017
intensive,0.006,0.013
methods,0.01,0.018
plausible,0.151,0.18
deposed,0.037,0.05
tyrant,0.025,0.021
Yet,0.009,0.04
institutionalization,0.003,0.039
Islam,0.062,0.076
adventure,0.014,0.062
Foremost,0.003,0.02
forefront,0.009,0.014
lessons,0.02,0.065
economics,0.177,0.173
dictated,0.116,0.11
remarkable,0.137,0.166
trap,0.045,0.08
Being,0.136,0.107
journalists,0.048,0.059
implicit,0.005,0.055
repudiation,0.001,0.034
ruler,0.159,0.117
Head,0.123,0.194
Will,0.004,0.062
divorce,0.026,0.023
husbands,0.027,0.037
abandon,0.052,0.133
lowering,0.055,0.217
democrats,0.044,0.025
reduction,0.013,0.025
downfall,0.02,0.024
bottom,0.043,0.045
asset,0.263,0.444
scarves,0.003,0.001
uncultivated,0.001,0.005
overshadowed,0.059,0.12
particularly,0.011,0.019
Guide,0.267,0.361
particuli,0.011,0.004
rement,0.013,0.007
reaches,0.01,0.005
Moreover,0.144,0.258
main,0.017,0.023
exporters,0.031,0.05
unwilling,0.202,0.225
subordinate,0.124,0.38
requirements,0.02,0.026
formulate,0.019,0.038
necessity,0.001,0.013
Leader,0.048,0.051
mainly,0.024,0.064
warning,0.039,0.04
powerlessness,0.081,0.052
Then,0.012,0.016
Perhaps,0.002,0.003
happens,0.015,0.012
mode,0.025,0.023
gays,0.013,0.005
Employment,0.087,0.05
regions,0.021,0.075
thanks,0.03,0.083
suspicion,0.079,0.071
regarding,0.034,0.054
Such,0.049,0.061
tops,0.011,0.057
hat,0.023,0.038
riding,0.038,0.035
horse,0.032,0.024
feeding,0.013,0.034
mouse,0.042,0.035
snake,0.025,0.028
flute,0.032,0.034
cheese,0.042,0.04
pizza,0.035,0.022
guitar,0.039,0.034
seated,0.055,0.105
onion,0.055,0.047
onions,0.024,0.016
skating,0.02,0.007
piano,0.038,0.018
throwing,0.023,0.031
ceiling,0.039,0.017
throws,0.009,0.005
holds,0.016,0.039
baby,0.025,0.027
kangaroo,0.013,0.012
bamboo,0.007,0.002
Someone,0.008,0.006
panda,0.016,0.02
dog,0.024,0.029
girl,0.021,0.033
brushing,0.047,0.09
polar,0.017,0.024
bear,0.037,0.077
swimming,0.005,0.004
pours,0.034,0.012
pot,0.054,0.048
wine,0.038,0.045
slide,0.082,0.103
slides,0.074,0.105
soccer,0.009,0.018
beach,0.058,0.045
meat,0.026,0.019
peels,0.012,0.009
potato,0.044,0.019
peeling,0.013,0.025
Men,0.028,0.022
falls,0.014,0.012
chasing,0.019,0.023
rabbit,0.022,0.029
axe,0.269,0.269
frying,0.013,0.003
pork,0.006,0.007
chop,0.029,0.053
kite,0.05,0.034
bull,0.023,0.016
rode,0.022,0.006
slicing,0.015,0.013
bun,0.089,0.049
pouring,0.017,0.027
skillet,0.04,0.008
lion,0.027,0.028
rides,0.025,0.04
skateboard,0.069,0.053
statue,0.038,0.038
shrimp,0.01,0.008
tiger,0.018,0.027
cucumber,0.036,0.026
tomato,0.102,0.051
harp,0.127,0.093
keyboard,0.068,0.046
climbs,0.002,0.007
violin,0.047,0.031
carrots,0.02,0.017
kid,0.021,0.042
tofu,0.033,0.009
licking,0.002,0.002
drums,0.069,0.056
pepper,0.056,0.059
plays,0.047,0.078
banana,0.005,0.012
spitting,0.063,0.038
toy,0.02,0.026
eggs,0.013,0.034
trumpet,0.046,0.051
chewing,0.015,0.003
squirrel,0.036,0.016
kissing,0.017,0.012
getting,0.007,0.009
garage,0.03,0.02
cycling,0.031,0.011
mushrooms,0.011,0.009
knife,0.09,0.067
apple,0.06,0.031
monkey,0.047,0.059
pushes,0.004,0.007
tying,0.028,0.045
watermelon,0.021,0.02
chopping,0.035,0.021
broccoli,0.02,0.028
peeled,0.03,0.006
potatoe,0.012,0.011
swims,0.008,0.018
underwater,0.126,0.141
basketball,0.007,0.007
talked,0.019,0.013
telephone,0.083,0.058
exercising,0.016,0.016
potatoes,0.047,0.011
ginger,0.037,0.062
plate,0.064,0.026
herbs,0.001,0.002
lifting,0.018,0.031
weights,0.032,0.025
chopped,0.024,0.04
green,0.008,0.007
noodles,0.016,0.003
biting,0.01,0.016
loris,0.003,0.002
dances,0.028,0.03
looking,0.021,0.03
sewing,0.014,0.039
chef,0.061,0.046
dough,0.032,0.013
egg,0.021,0.025
bowl,0.082,0.031
trampoline,0.018,0.007
sings,0.022,0.013
wall,0.08,0.044
trail,0.102,0.085
herd,0.021,0.031
street,0.066,0.051
shirtless,0.022,0.025
chair,0.057,0.072
turtle,0.02,0.026
puppy,0.023,0.039
tennis,0.029,0.048
carpet,0.005,0.002
scooter,0.032,0.019
motor,0.009,0.025
vegetable,0.058,0.013
rowing,0.009,0.007
boat,0.019,0.016
stickers,0.005,0.006
slices,0.033,0.033
garlic,0.026,0.016
dicing,0.009,0.008
plastic,0.019,0.021
cracks,0.022,0.052
trunk,0.011,0.013
toddler,0.013,0.004
walks,0.033,0.04
poured,0.045,0.016
tomatoes,0.021,0.011
paddling,0.106,0.087
canoe,0.034,0.022
woods,0.036,0.019
wooded,0.007,0.005
surfing,0.038,0.013
butter,0.028,0.04
bread,0.055,0.051
dance,0.019,0.017
hill,0.018,0.025
pasta,0.003,0.007
mixing,0.039,0.061
pots,0.021,0.023
pipe,0.041,0.045
Kids,0.05,0.02
laughing,0.056,0.068
bath,0.06,0.044
cats,0.021,0.033
pencil,0.043,0.035
vegetables,0.021,0.011
rolling,0.052,0.029
Woman,0.022,0.009
slice,0.122,0.155
cleaning,0.08,0.091
door,0.015,0.009
exercises,0.044,0.056
elderly,0.023,0.045
hits,0.036,0.069
dogs,0.031,0.035
swim,0.007,0.012
deer,0.007,0.033
chicken,0.012,0.005
camera,0.044,0.027
chili,0.002,0.017
raw,0.003,0.008
mowing,0.043,0.058
lawn,0.047,0.04
lemon,0.015,0.013
octopus,0.012,0.005
sword,0.158,0.133
puts,0.02,0.059
flour,0.02,0.003
shooting,0.012,0.022
elephant,0.045,0.005
skiing,0.002,0.002
rinsing,0.049,0.033
steak,0.089,0.019
jumps,0.035,0.04
compete,0.003,0.01
garden,0.095,0.064
backs,0.044,0.043
hugging,0.149,0.15
step,0.021,0.039
buttering,0.011,0.014
eyelid,0.004,0.007
teenage,0.022,0.026
danced,0.002,0.001
pen,0.039,0.016
washing,0.023,0.021
freezer,0.043,0.014
barking,0.006,0.007
ocean,0.074,0.048
preparing,0.013,0.016
pole,0.11,0.058
automatic,0.029,0.042
bunny,0.015,0.021
stuffed,0.055,0.091
runway,0.119,0.096
shower,0.043,0.028
leaf,0.049,0.056
squeezing,0.021,0.018
square,0.014,0.008
shoots,0.06,0.098
cigarette,0.028,0.019
hurting,0.008,0.013
cement,0.0,0.006
blocks,0.002,0.007
spray,0.068,0.077
counter,0.051,0.216
strip,0.017,0.047
window,0.049,0.025
staring,0.009,0.004
digging,0.003,0.005
lake,0.031,0.022
lands,0.028,0.008
backwards,0.022,0.056
pushing,0.022,0.022
cream,0.003,0.007
internet,0.01,0.025
grass,0.056,0.039
sliced,0.021,0.019
monitor,0.009,0.005
laptop,0.01,0.006
opens,0.018,0.023
crawling,0.003,0.002
painting,0.019,0.032
carrot,0.02,0.015
pulls,0.008,0.006
tail,0.014,0.014
seasoning,0.015,0.036
rhino,0.001,0.006
mother,0.032,0.023
adult,0.007,0.005
partially,0.007,0.032
catches,0.022,0.014
watching,0.02,0.022
stuck,0.035,0.025
flip,0.001,0.007
sky,0.139,0.073
raft,0.017,0.016
relaxes,0.004,0.029
pressing,0.01,0.007
turns,0.018,0.014
exploded,0.023,0.021
rocket,0.017,0.009
Robin,0.032,0.014
flies,0.012,0.039
speaker,0.039,0.026
box,0.054,0.044
math,0.04,0.019
classes,0.009,0.02
cameras,0.017,0.018
sidewalk,0.023,0.021
guns,0.027,0.013
dry,0.016,0.011
tortilla,0.034,0.01
tapping,0.079,0.045
table,0.037,0.027
firing,0.041,0.003
bears,0.008,0.012
bin,0.035,0.128
shoulders,0.012,0.003
shaking,0.018,0.01
trick,0.034,0.036
wake,0.09,0.14
milk,0.034,0.033
sits,0.012,0.01
arts,0.019,0.016
jump,0.047,0.056
blanket,0.017,0.008
puppies,0.006,0.013
rice,0.047,0.053
heading,0.029,0.093
football,0.018,0.015
Paper,0.172,0.198
read,0.008,0.013
yellow,0.017,0.021
beats,0.012,0.011
ingredients,0.019,0.044
Soccer,0.04,0.037
scores,0.015,0.038
splashes,0.019,0.008
dish,0.079,0.041
gray,0.037,0.035
You,0.064,0.059
T,0.008,0.011
shirt,0.036,0.035
friend,0.013,0.013
makeup,0.045,0.067
couch,0.031,0.019
desert,0.033,0.025
toys,0.005,0.007
ladies,0.047,0.072
shadow,0.027,0.063
pet,0.017,0.035
petting,0.077,0.043
bathing,0.038,0.257
teams,0.009,0.009
Different,0.002,0.009
sets,0.036,0.041
rat,0.005,0.01
aims,0.042,0.042
robots,0.017,0.04
robot,0.004,0.043
grazing,0.025,0.023
beside,0.012,0.016
split,0.027,0.014
checks,0.006,0.002
cage,0.003,0.001
loses,0.006,0.003
sunglasses,0.008,0.005
eyes,0.027,0.04
prey,0.063,0.049
chases,0.028,0.01
cow,0.02,0.026
tiny,0.009,0.006
sauce,0.003,0.003
orange,0.017,0.022
rider,0.006,0.015
towel,0.056,0.02
hanging,0.015,0.03
cliff,0.07,0.079
dropping,0.053,0.033
kitten,0.034,0.07
eats,0.006,0.002
fence,0.024,0.017
asleep,0.012,0.005
toilet,0.021,0.033
rocks,0.023,0.046
luck,0.015,0.002
therefore,0.013,0.02
proposes,0.067,0.084
references,0.065,0.111
paragraphs,0.07,0.053
remind,0.111,0.1
allies,0.031,0.041
fervent,0.087,0.095
5.30,0.015,0.004
fishermen,0.074,0.118
inactive,0.044,0.05
tired,0.023,0.027
qualified,0.103,0.169
revert,0.003,0.023
Article,0.017,0.021
272,0.064,0.038
voting,0.022,0.017
Parliament,0.012,0.01
expense,0.065,0.078
detriment,0.012,0.006
babies,0.049,0.05
17h30,0.013,0.021
pontificate,0.007,0.032
resolution,0.017,0.014
sittings,0.002,0.008
faithfully,0.005,0.007
honourably,0.039,0.046
Tunisia,0.061,0.047
explained,0.073,0.1
underlying,0.001,0.004
directive,0.005,0.007
amendment,0.017,0.027
root,0.14,0.139
modification,0.035,0.025
Cashman,0.116,0.152
summarised,0.075,0.088
bureaucracy,0.018,0.014
summed,0.013,0.002
pride,0.14,0.151
Thank,0.073,0.059
insist,0.019,0.002
avoided,0.039,0.053
catastrophe,0.247,0.245
Selective,0.019,0.036
subsidy,0.056,0.104
Specific,0.02,0.004
premium,0.078,0.075
provision,0.049,0.048
wide,0.082,0.163
arbitrariness,0.021,0.045
arbitrary,0.041,0.045
Maij,0.128,0.184
Weggen,0.106,0.081
A5,0.107,0.098
0323/2000,0.17,0.182
Mister,0.036,0.067
european,0.014,0.016
article,0.019,0.048
0323,0.169,0.127
defence,0.078,0.118
modifications,0.034,0.036
thus,0.008,0.01
increasing,0.038,0.055
Given,0.209,0.196
Orden,0.072,0.046
Report,0.037,0.013
0241/2000,0.124,0.103
0241,0.171,0.114
Latvia,0.036,0.075
supporting,0.034,0.06
properly,0.005,0.015
ardent,0.002,0.002
Unanimous,0.001,0.024
hence,0.062,0.054
incapacity,0.042,0.052
norm,0.245,0.223
unanimity,0.013,0.023
latent,0.011,0.011
incorporation,0.078,0.066
Consumers,0.114,0.147
competitive,0.145,0.262
losers,0.016,0.007
competitiveness,0.011,0.009
régresseront,0.043,0.052
Has,0.074,0.024
scarcely,0.076,0.079
hardly,0.042,0.013
seized,0.008,0.007
suits,0.029,0.048
Unfortunately,0.015,0.01
accumulated,0.085,0.139
hatred,0.045,0.071
unfortunately,0.032,0.028
amended,0.058,0.123
grudge,0.005,0.012
maybe,0.011,0.012
anxious,0.007,0.006
Users,0.028,0.008
parliamentary,0.014,0.032
ourselves,0.023,0.05
appropriate,0.065,0.082
item,0.065,0.109
balanced,0.023,0.014
amendments,0.048,0.052
soon,0.067,0.041
helps,0.008,0.002
barely,0.004,0.005
resentment,0.009,0.011
recall,0.006,0.004
Others,0.157,0.174
Support,0.053,0.074
Rules,0.029,0.05
unity,0.024,0.026
causes,0.011,0.031
russian,0.006,0.005
parliament,0.029,0.051
offers,0.006,0.013
Vote,0.018,0.023
manufacturer,0.015,0.062
crackdown,0.004,0.016
agencies,0.01,0.04
Chavez,0.006,0.015
resolved,0.017,0.024
fake,0.033,0.167
Key,0.005,0.011
sentenced,0.029,0.027
passenger,0.063,0.084
Cuba,0.012,0.007
Nairobi,0.018,0.008
Swartz,0.013,0.025
religion,0.018,0.025
weekend,0.038,0.034
tests,0.027,0.033
bomb,0.025,0.023
dinner,0.054,0.059
statute,0.049,0.024
limitations,0.019,0.017
probably,0.006,0.014
spying,0.004,0.008
enemy,0.044,0.035
carry,0.009,0.007
observers,0.025,0.043
pose,0.052,0.057
prohibits,0.007,0.012
instruments,0.009,0.002
rover,0.006,0.024
33,0.069,0.043
familiar,0.076,0.054
refuse,0.02,0.067
insider,0.033,0.032
finalized,0.049,0.12
weakness,0.008,0.015
exists,0.01,0.007
application,0.026,0.018
overall,0.061,0.068
Stadium,0.113,0.077
Illinois,0.007,0.008
Post,0.069,0.024
suffered,0.092,0.106
mass,0.101,0.169
sometimes,0.03,0.023
posing,0.033,0.042
bombers,0.001,0.009
bans,0.017,0.022
phones,0.054,0.032
mobile,0.012,0.013
admissions,0.071,0.066
Arab,0.016,0.027
dollars,0.015,0.004
traveling,0.032,0.083
Summer,0.006,0.018
challenge,0.152,0.244
ends,0.025,0.021
angry,0.035,0.025
legally,0.108,0.186
politically,0.002,0.011
marijuana,0.029,0.022
doctors,0.003,0.003
Office,0.072,0.072
Jan.,0.03,0.025
precautionary,0.047,0.054
X,0.018,0.023
regrets,0.008,0.016
regret,0.039,0.059
crimes,0.033,0.015
determined,0.008,0.021
pollution,0.01,0.016
Site,0.014,0.005
visited,0.006,0.014
Assembly,0.024,0.04
forecasting,0.104,0.072
India,0.005,0.013
laundering,0.022,0.015
Antonio,0.003,0.003
Castro,0.019,0.009
debate,0.048,0.055
spree,0.068,0.051
weighted,0.067,0.108
depending,0.011,0.016
protesting,0.038,0.09
performs,0.01,0.008
exactly,0.014,0.036
Media,0.007,0.021
territory,0.041,0.043
vague,0.061,0.071
became,0.022,0.039
notice,0.037,0.048
Penn,0.009,0.012
outbreak,0.087,0.082
nurse,0.022,0.049
Abu,0.022,0.038
deputy,0.021,0.052
King,0.025,0.01
Capital,0.04,0.013
Stanford,0.014,0.044
1st,0.015,0.034
handheld,0.036,0.052
Malaysia,0.019,0.039
Along,0.059,0.024
Bank,0.032,0.033
Mideast,0.003,0.025
reveal,0.009,0.009
Get,0.006,0.027
Pylon,0.022,0.051
desktop,0.012,0.011
otherwise,0.01,0.039
easy,0.045,0.024
Alaska,0.014,0.005
Thousands,0.016,0.02
Egypt,0.026,0.045
battery,0.034,0.024
dozens,0.018,0.041
Kurds,0.004,0.008
Close,0.112,0.115
ongoing,0.047,0.128
cooperation,0.01,0.014
regional,0.082,0.092
Pacific,0.002,0.005
outer,0.012,0.013
walls,0.011,0.014
collapsed,0.037,0.073
Later,0.145,0.147
blames,0.026,0.037
guerrilla,0.006,0.016
emerged,0.042,0.138
Tour,0.019,0.026
author,0.023,0.047
testify,0.01,0.008
catastrophic,0.089,0.108
unacceptable,0.045,0.054
Emergency,0.017,0.011
friends,0.026,0.018
filled,0.104,0.121
Software,0.077,0.063
Domestic,0.005,0.001
Ford,0.008,0.01
meant,0.057,0.073
accord,0.061,0.03
implementation,0.017,0.014
1.5,0.016,0.024
blast,0.028,0.041
raid,0.009,0.016
morally,0.045,0.028
bone,0.023,0.072
Italian,0.009,0.025
mutual,0.008,0.019
Freedom,0.008,0.002
SCO,0.013,0.028
outstanding,0.001,0.029
gives,0.003,0.003
contribute,0.052,0.034
exports,0.037,0.03
Six,0.056,0.054
frozen,0.02,0.04
Trade,0.043,0.02
throughout,0.012,0.03
exclusive,0.02,0.045
employers,0.026,0.067
professional,0.016,0.013
Families,0.054,0.008
highway,0.004,0.006
readers,0.007,0.007
Harry,0.062,0.094
Potter,0.108,0.127
Order,0.278,0.295
pregnancy,0.089,0.081
once,0.024,0.021
actress,0.004,0.007
doubled,0.027,0.064
Said,0.022,0.053
Island,0.022,0.019
Fox,0.053,0.027
13,0.022,0.04
teenagers,0.008,0.022
buried,0.04,0.047
Details,0.04,0.028
Foreign,0.151,0.085
Sources,0.104,0.085
racing,0.029,0.026
Daily,0.02,0.006
Maybe,0.01,0.005
reality,0.036,0.008
streets,0.012,0.009
War,0.025,0.02
Free,0.015,0.006
squad,0.01,0.03
Wells,0.011,0.006
arrive,0.023,0.015
Royal,0.014,0.018
Times,0.022,0.013
Steven,0.084,0.082
difference,0.067,0.039
biological,0.009,0.018
indeed,0.016,0.021
UN,0.013,0.014
grown,0.015,0.003
trees,0.039,0.035
actual,0.006,0.005
Christian,0.011,0.006
examination,0.034,0.04
suggestions,0.01,0.011
narrow,0.03,0.06
southeastern,0.016,0.018
figure,0.009,0.005
Cabinet,0.008,0.002
Uganda,0.014,0.098
unusual,0.018,0.022
dialogue,0.054,0.072
hoping,0.016,0.004
n’t,0.028,0.036
debut,0.031,0.026
household,0.078,0.09
Hebron,0.002,0.007
Robinson,0.01,0.008
Larry,0.06,0.098
rival,0.026,0.037
somewhat,0.018,0.046
competing,0.004,0.01
regulators,0.072,0.108
Reynolds,0.014,0.015
fatally,0.071,0.074
standoff,0.049,0.061
sides,0.045,0.023
hosts,0.019,0.036
Bird,0.072,0.03
Count,0.009,0.005
participate,0.015,0.013
executives,0.006,0.026
net,0.011,0.014
boost,0.007,0.005
GOP,0.003,0.008
Bulger,0.016,0.005
brother,0.02,0.028
Wanted,0.038,0.071
emails,0.016,0.056
Re,0.027,0.016
Movie,0.003,0.006
Philips,0.104,0.136
Samsung,0.01,0.004
Sharp,0.008,0.004
Is,0.066,0.006
Analysis,0.043,0.024
sleeping,0.026,0.039
occasionally,0.037,0.034
welcome,0.019,0.046
Seven,0.006,0.015
caught,0.072,0.057
teens,0.016,0.033
moved,0.023,0.049
absent,0.027,0.016
Intel,0.023,0.013
locked,0.026,0.125
relief,0.034,0.031
Siemens,0.054,0.006
finals,0.029,0.015
Year,0.002,0.018
Rock,0.033,0.016
revolution,0.167,0.112
Jail,0.043,0.06
psychiatric,0.006,0.009
trapped,0.039,0.046
designed,0.012,0.03
Nine,0.019,0.029
barrier,0.002,0.0
expert,0.014,0.009
judged,0.005,0.019
NYC,0.022,0.029
march,0.021,0.025
drop,0.017,0.036
core,0.032,0.088
clothes,0.037,0.022
sorry,0.031,0.03
improving,0.036,0.035
debris,0.047,0.094
survivors,0.034,0.06
violent,0.02,0.031
earthquake,0.075,0.073
politician,0.003,0.002
35,0.01,0.024
impossible,0.014,0.019
understood,0.012,0.008
Cold,0.08,0.059
stereo,0.007,0.039
audio,0.012,0.128
dual,0.007,0.045
Dick,0.098,0.104
grounded,0.049,0.142
wait,0.02,0.013
Henry,0.05,0.066
ambassador,0.021,0.048
stands,0.031,0.029
levels,0.015,0.013
