word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
organize,0.772,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.993,0.896
borders,0.075,0.016,0.022,0.032,0.023,0.008,0.015,0.023,0.032,0.025,0.034,0.712
relates,0.098,0.045,0.081,0.126,0.085,0.08,0.098,0.094,0.1,0.067,0.187,0.602
Everyone,0.733,0.99,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.994,0.979
describe,0.085,0.048,0.07,0.035,0.051,0.033,0.03,0.029,0.05,0.042,0.079,0.623
Plan,0.099,0.044,0.046,0.044,0.03,0.03,0.014,0.013,0.026,0.059,0.225,0.575
advocating,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upward,0.075,0.031,0.017,0.043,0.012,0.01,0.019,0.031,0.089,0.161,0.458,0.592
op,0.492,0.991,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.994,0.936
preserving,0.095,0.057,0.104,0.057,0.141,0.111,0.138,0.153,0.209,0.157,0.23,0.836
protecting,0.071,0.017,0.031,0.049,0.038,0.149,0.056,0.05,0.045,0.043,0.184,0.697
decreasing,0.002,0.011,0.037,0.034,0.107,0.031,0.082,0.169,0.197,0.116,0.113,0.711
reducing,0.168,0.054,0.066,0.085,0.089,0.215,0.158,0.154,0.151,0.119,0.182,0.732
foremost,0.003,0.004,0.041,0.033,0.045,0.04,0.024,0.037,0.016,0.008,0.077,0.858
Advance,0.839,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.91
channel,0.055,0.015,0.015,0.056,0.047,0.038,0.029,0.041,0.084,0.052,0.124,0.821
Cut,0.675,0.989,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.994,0.958
projecting,0.037,0.024,0.052,0.002,0.022,0.018,0.013,0.044,0.088,0.075,0.094,0.734
excluded,0.085,0.009,0.035,0.098,0.075,0.076,0.067,0.081,0.016,0.003,0.038,0.668
rotating,0.049,0.059,0.023,0.027,0.037,0.022,0.032,0.01,0.029,0.011,0.039,0.44
printed,0.228,0.988,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.99,0.87
eject,0.04,0.068,0.063,0.11,0.154,0.139,0.077,0.176,0.144,0.173,0.342,0.483
phlegm,0.095,0.011,0.001,0.008,0.001,0.023,0.001,0.0,0.0,0.013,0.012,0.764
sputum,0.074,0.007,0.002,0.006,0.001,0.017,0.003,0.022,0.039,0.044,0.044,0.794
expel,0.831,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.994,0.943
describing,0.113,0.036,0.101,0.057,0.092,0.058,0.113,0.155,0.161,0.092,0.146,0.489
explanation,0.055,0.019,0.023,0.018,0.012,0.004,0.014,0.029,0.056,0.078,0.164,0.354
blocking,0.009,0.034,0.045,0.018,0.095,0.076,0.062,0.059,0.112,0.067,0.007,0.346
distinctive,0.031,0.008,0.026,0.017,0.063,0.024,0.051,0.089,0.145,0.166,0.352,0.641
clothing,0.027,0.005,0.024,0.01,0.027,0.012,0.02,0.012,0.035,0.05,0.14,0.652
odor,0.032,0.002,0.002,0.004,0.012,0.012,0.008,0.008,0.016,0.007,0.069,0.64
adopt,0.046,0.003,0.007,0.009,0.012,0.003,0.007,0.014,0.044,0.054,0.162,0.608
